customer_id,registration_date,zip,region,gender,birthday,surname,firstname,surname_alpha,firstname_alpha,first_purchase_trigger
00023085,2018/2/28,543-9190,東京都,0,1996/11/7,大西,奏太,Onishi,Souta,4
00015469,2019/6/9,363-1372,北海道,0,1992/9/16,三浦,拓也,Miura,Takuya,
00015482,2020/9/5,706-1755,大阪府,1,1959/2/17,中島,優衣,Nakajima,Yui,8
00017107,2016/1/1,277-3282,愛知県,0,1977/11/11,原,陸,Hara,Riku,2
00024156,2011/9/24,485-6282,福岡県,0,1991/1/6,今井,翼,Imai,Tsubasa,7
00010000,2022/8/15,209-8236,広島県,1,1981/5/22,太田,恵子,Ota,Keiko,
,,,,,,,,,,
00010020,2019/9/1,386-1271,沖縄県,1,2000/1/21,森,愛,Mori,Ai,1
00010056,2018/8/1,255-8778,京都府,0,1970/2/27,菊地,直樹,Kikuchi,Naoki,
00010061,2015/2/27,181-2062,栃木県,0,1981/6/11,松井,太郎,Matsui,Tarou,7
00010096,2012/1/26,496-4830,埼玉県,1,1980/5/31,太田,陽菜,Ota,Hina,
00010098,2013/5/14,892-9550,神奈川県,1,1955/2/23,橋本,優,Hashimoto,Yu,
00010108,2014/2/24,634-5125,秋田県,0,1990/7/27,森,拓也,Mori,Takuya,10
00010119,2011/9/18,037-0509,岩手県,0,1965/6/16,村田,海斗,Murata,Kaito,
00010126,2021/9/14,576-5569,青森県,1,1947/4/23,久保,芽依,Kubo,Mei,3
00010127,2012/3/5,062-8399,佐賀県,0,1972/1/24,杉山,律,Sugiyama,Ritsu,
00010151,2016/1/20,023-7521,大分県,0,1955/5/29,広瀬,海斗,Hirose,Kaito,3
00010216,2015/4/23,139-6019,鹿児島県,1,1962/4/27,藤井,未来,Fujī,Miku,
00010246,2014/12/7,546-2441,長野県,0,1994/7/5,阿部,翔太,Abe,Shouta,9
00010257,2017/12/18,656-6742,岐阜県,1,1993/10/23,伊藤,凛,Itou,Rin,7
00010271,2019/4/19,712-8915,石川県,0,1987/7/24,後藤,蓮,Gotou,Ren,8
,,,,,,,,,,
00010291,2016/10/17,816-9629,茨城県,0,1985/9/16,中島,三郎,Nakajima,Saburou,8
00010302,2013/10/18,997-7975,山梨県,0,1993/8/23,古川,太郎,Furukawa,Tarou,6
00010333,2014/11/28,682-6511,静岡県,0,1996/10/30,野口,駿,Noguchi,Shun,7
00010388,2017/4/23,664-1130,愛媛県,1,1985/4/30,松田,陽菜,Matsuda,Hina,
00010471,2012/12/25,947-0329,徳島県,0,1957/4/9,野村,次郎,Nomura,Jirou,
00010489,2021/6/4,638-1384,高知県,0,1956/4/29,平野,朝陽,Hirano,Asahi,1
00010563,2022/2/11,679-7793,島根県,1,1973/3/2,加藤,芽依,Katou,Mei,
00010585,2015/12/21,941-5536,鳥取県,1,1991/9/17,田口,愛,Taguchi,Ai,
00010624,2019/10/3,787-7965,茨城県,0,1950/12/4,森,大輔,Mori,Daisuke,10
00010669,2011/3/18,171-1333,和歌山県,0,1975/1/22,山下,雄太,Yamashita,Yuta,
00010670,2017/2/9,783-3145,岡山県,1,1974/5/3,村田,恵子,Murata,Keiko,5
